"mt.MT","Arbutus-Ridge ","Downtown ","Dunbar-Southlands ","Fairview ","Grandview-Woodland ","Hastings-Sunrise ","Kensington-Cedar Cottage ","Kerrisdale ","Killarney ","Kitsilano ","Marpole ","Mount Pleasant ","Oakridge ","Renfrew-Collingwood ","Riley Park ","Shaughnessy ","South Cambie ","Strathcona ","Sunset ","Vancouver CMA ","Vancouver CSD ","Victoria-Fraserview","West End ","West Point Grey "
"  Total - Mother tongue for males excluding institutional residents - 100% data","6870","31865","10325","14890","14185","16690","23865","6490","13770","20025","11715","15845","5975","24985","10700","3860","3630","6165","17840","1191670","304235","14580","24560","6215"
"    Single responses","6715","30980","10155","14565","13860","16185","22940","6340","13265","19645","11295","15430","5790","23895","10415","3765","3525","6035","16895","1153915","294900","13935","23975","6090"
"    Multiple responses","155","880","170","330","320","505","925","150","500","380","425","420","180","1085","285","90","110","130","945","37760","9335","645","590","130"
"      Official languages","3195","19625","6785","11225","10595","8085","11560","3415","5725","15795","5045","11935","2110","9065","7025","2170","2355","4060","5910","678670","170085","4370","16495","4195"
"      Non-official languages","3515","11355","3375","3340","3265","8105","11385","2930","7545","3850","6245","3495","3680","14830","3385","1595","1170","1980","10980","475240","124820","9565","7480","1895"
"      French and non-official language","5","35","10","25","15","5","10","5","10","20","10","10","5","15","10","0","5","10","10","750","245","5","40","0"
"      English, French and non-official language","0","30","5","10","5","10","15","5","5","15","10","15","0","20","5","0","5","0","15","725","220","15","20","5"
"      English and non-official language","135","715","150","230","250","460","830","135","460","270","385","335","165","1020","225","85","90","105","895","33750","8035","610","410","105"
"      English and French","10","100","15","65","50","30","70","10","25","80","15","60","10","35","50","5","10","15","30","2535","840","20","120","15"
"        Non-Aboriginal languages","3515","11290","3350","3340","3235","8095","11375","2930","7540","3850","6245","3470","3685","14825","3385","1595","1165","1915","10975","474850","124590","9555","7470","1890"
"        French","55","755","95","360","290","165","295","55","115","485","140","395","45","165","155","40","60","180","95","12505","4935","90","790","105"
"        English","3145","18865","6690","10860","10310","7915","11260","3355","5615","15305","4905","11540","2065","8900","6875","2135","2295","3885","5820","666165","165150","4280","15705","4090"
"        Aboriginal languages","0","60","25","5","30","5","10","0","0","5","0","20","0","5","0","0","0","60","5","390","225","5","10","0"
"          Wakashan languages","0","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","5","0","25","15","0","0","0"
"          Uralic languages","20","110","30","55","35","35","40","5","40","85","50","40","15","25","40","10","10","25","15","3535","855","50","90","25"
"          Turkic languages","20","145","15","30","10","10","20","5","35","40","10","25","5","35","10","0","5","10","5","2035","615","10","170","15"
"          Tsimshian languages","0","15","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","45","30","5","5","0"
"          Tlingit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"          Tai-Kadai languages","0","50","5","10","5","10","20","0","5","5","20","15","5","40","5","0","0","5","15","980","300","15","45","5"
"          Siouan languages","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0"
"          Sino-Tibetan languages","2610","3030","2365","975","1215","4955","5875","2210","4425","920","4090","1040","2760","8225","1710","1195","680","1155","3115","177135","60570","6125","860","1090"
"          Sign languages","0","0","0","5","0","5","10","0","10","5","0","5","0","5","5","0","0","0","5","325","55","0","0","0"
"          Salish languages","0","5","20","0","5","0","5","0","0","0","0","0","0","0","0","0","0","5","0","65","20","0","0","0"
"          Other languages, n.i.e.","0","5","0","5","0","5","5","5","0","0","0","0","0","10","0","0","0","5","0","195","50","0","5","0"
"          Nilo-Saharan languages","0","0","0","0","0","5","5","0","5","0","0","0","0","5","0","0","0","5","5","130","30","5","0","0"
"          Niger-Congo languages","0","30","5","10","15","10","15","0","15","10","15","10","5","20","5","0","0","15","20","1330","235","10","10","0"
"          Mongolic languages","0","15","0","0","0","5","0","0","5","5","0","5","5","0","5","0","0","0","0","145","50","0","15","0"
"          Michif","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0"
"          Kutenai","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"          Korean","145","805","80","95","45","70","80","135","235","105","135","135","125","265","35","25","25","15","55","20680","3150","50","440","55"
"          Kartvelian languages","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","35","10","0","5","0"
"          Japanese","60","325","50","140","60","85","120","50","100","135","140","105","65","190","80","25","40","25","65","5755","2310","70","340","40"
"          Iroquoian languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"          Inuit languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0"
"          Indo-European languages","550","5765","700","1720","1365","1760","2260","435","1520","2300","1065","1345","530","2765","865","265","290","410","5070","203240","38025","1700","4780","605"
"          Hmong-Mien languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","70","10","0","0","0"
"          Haida","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","5","0","0","0"
"          Dravidian languages","5","55","10","20","10","20","150","5","35","20","40","40","10","110","45","10","5","5","380","3290","1145","110","40","10"
"          Creole languages","0","5","0","5","0","0","5","0","0","0","0","0","0","5","5","0","0","5","10","315","50","0","5","0"
"          Austronesian languages","45","295","30","105","205","430","1560","35","725","70","485","375","75","1875","380","30","40","35","1720","33570","9670","900","235","15"
"          Austro-Asiatic languages","10","100","5","20","185","635","1105","15","310","30","60","210","30","1065","125","5","20","160","360","11075","5005","480","65","0"
"          Athabaskan languages","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","20","0","45","30","0","0","0"
"          Algonquian languages","0","25","0","0","15","5","5","0","0","0","5","10","0","5","0","0","0","15","5","135","90","5","5","0"
"          Afro-Asiatic languages","50","565","50","145","75","55","95","25","75","115","125","120","45","165","75","30","45","55","140","11005","2465","40","350","30"
"          Aboriginal languages, n.o.s.","0","5","0","0","5","5","0","0","0","0","0","5","0","0","0","0","0","0","0","35","15","0","0","0"
"            Yoruba","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","15","0","5","0"
"            Wolof","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0"
"            Waray-Waray","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","5","70","25","0","0","0"
"            Wakashan languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Vietnamese","10","100","5","15","180","625","1085","15","305","25","55","190","30","1035","120","5","20","155","355","10505","4860","460","60","0"
"            Uzbek","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","5","0","0","0"
"            Uyghur","5","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","85","10","0","0","0"
"            Uralic languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Turkish","10","115","10","30","5","10","15","0","30","30","10","20","5","35","10","0","5","5","0","1560","525","10","150","15"
"            Turkic languages, n.i.e.","0","5","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","5","75","15","0","5","0"
"            Tsimshian","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","5","0","0"
"            Tibeto-Burman languages","5","15","0","0","5","10","75","0","25","5","5","20","0","70","5","0","0","5","25","1145","300","10","5","5"
"            Thompson (Ntlakapamux)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Thai","0","40","5","5","5","10","15","5","5","0","15","15","5","45","5","5","5","0","10","565","240","5","45","5"
"            Telugu","5","20","0","0","0","0","10","5","5","5","0","5","5","25","0","0","0","0","85","550","205","20","5","5"
"            Tamil","0","20","10","10","5","20","130","0","25","15","25","25","5","65","40","10","0","5","235","1700","715","50","20","5"
"            Tai-Kadai languages, n.i.e","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0"
"            Tagalog (Pilipino, Filipino)","20","195","15","85","165","355","1210","25","570","40","380","310","55","1495","325","15","25","20","1405","27270","7630","725","190","5"
"            Swahili","0","10","5","0","0","0","0","5","5","5","5","5","0","0","5","0","0","10","0","285","50","0","5","0"
"            Straits","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Stoney","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Squamish","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"            Siouan languages, n.i.e.","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Sign languages, n.i.e","0","5","0","0","0","5","10","5","5","0","0","0","5","5","5","0","0","0","0","200","35","0","0","0"
"            Shuswap (Secwepemctsin)","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Shona","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","70","20","0","5","0"
"            Semitic languages","50","545","45","145","65","40","90","25","70","110","120","100","50","150","70","25","45","40","120","10250","2325","40","345","30"
"            Salish languages, n.i.e.","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0"
"            Rundi (Kirundi)","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","5","45","10","0","0","0"
"            Quebec Sign Language","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Pangasinan","0","0","0","0","0","5","5","0","5","0","0","5","0","10","0","0","0","0","10","120","45","0","5","0"
"            Pampangan (Kapampangan, Pampango)","0","5","0","0","0","5","30","0","5","0","0","5","0","15","5","0","0","0","15","285","95","15","0","0"
"            Oneida","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Okanagan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Ojibway-Potawatomi languages","0","5","0","0","5","0","0","0","0","0","0","5","0","0","0","0","0","5","0","30","15","0","5","0"
"            Nuu-chah-nulth (Nootka)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Northern Athabaskan languages","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","25","0","50","30","0","0","0"
"            Nisga'a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","15","5","0","0","0"
"            Nilo-Saharan languages, n.i.e.","0","0","0","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","85","20","0","5","0"
"            Niger-Congo languages, n.i.e.","0","5","0","0","10","0","5","0","5","0","0","5","5","5","0","0","0","5","5","280","55","0","5","0"
"            Mongolian","0","15","0","0","0","0","0","0","5","0","0","0","5","5","5","0","0","0","0","150","45","0","15","0"
"            Mohawk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Malayalam","0","10","0","5","0","0","10","5","5","5","10","10","0","15","5","5","0","0","60","905","185","35","5","0"
"            Malay","20","75","10","15","5","10","20","10","30","25","25","15","10","65","10","10","5","5","10","1545","440","15","30","5"
"            Malagasy","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Lingala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","5","0","0","0"
"            Lillooet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Lao","0","5","0","5","5","0","10","0","5","0","0","5","0","5","0","0","0","5","5","405","55","5","5","0"
"            Kwakiutl (Kwak'wala)","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","5","0","0","0"
"            Kinyarwanda (Rwanda)","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","45","15","0","0","0"
"            Khmer (Cambodian)","0","0","0","0","5","5","25","0","5","0","5","15","0","30","5","0","0","5","5","550","130","20","0","0"
"            Kannada","0","0","0","5","0","0","0","0","0","5","0","5","0","0","0","0","0","0","5","115","30","0","5","0"
"            Italic (Romance) languages","120","1480","135","540","670","1060","825","105","455","690","290","430","115","1140","210","55","95","160","420","34590","11235","390","1720","140"
"            Iroquoian languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Inuktitut","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"            Inuit languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Inuinnaqtun (Inuvialuktun)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Indo-Iranian languages","100","2220","130","300","175","320","900","135","620","305","335","290","255","1110","280","105","70","75","4335","119930","14405","1085","1135","145"
"            Ilocano","0","5","5","0","15","25","150","5","50","0","45","25","5","160","20","0","5","0","165","1820","745","70","0","0"
"            Igbo","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","90","5","0","0","0"
"            Hungarian","15","80","25","45","30","25","25","5","25","65","40","30","15","20","35","5","10","20","10","2570","625","20","75","15"
"            Hiligaynon","5","0","0","0","5","10","25","0","10","0","10","10","5","25","5","0","0","0","35","480","165","20","5","0"
"            Heiltsuk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"            Halkomelem","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0"
"            Haitian Creole","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0"
"            Haisla","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"            Greek","100","45","80","40","45","35","55","30","35","285","20","40","10","40","70","20","15","10","15","2515","1080","20","55","20"
"            Gitxsan (Gitksan)","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","20","15","0","0","0"
"            Germanic languages","105","610","215","305","200","110","205","85","100","545","95","250","50","130","155","40","50","80","180","18000","4340","85","580","175"
"            Georgian","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","35","5","0","0","0"
"            Ganda","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","35","5","0","0","0"
"            Ga","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","15","5","0","0","0"
"            Fulah (Pular, Pulaar, Fulfulde)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","10","5","0","0","0"
"            Finnish","5","20","10","10","5","15","10","0","15","15","10","10","0","0","5","0","0","0","5","770","175","30","10","5"
"            Fijian","0","0","5","0","0","0","0","0","5","0","0","0","0","5","0","0","0","0","5","190","25","5","0","0"
"            Ewe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","5","0","0","0"
"            Estonian","5","10","0","5","0","0","0","0","0","10","0","5","0","0","0","0","0","0","5","195","50","0","5","0"
"            Edo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","5","0","0","0"
"            Eastern Algonquian languages","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"            Dravidian languages, n.i.e.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0"
"            Dinka","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","50","5","0","0","0"
"            Dakota","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","10","0","0","0"
"            Cushitic languages","0","20","0","0","5","5","5","0","0","0","5","15","0","10","0","0","0","10","20","675","120","5","5","0"
"            Creole, n.o.s.","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","5","180","30","0","10","5"
"            Creole languages, n.i.e.","0","0","0","0","0","5","0","0","0","0","0","5","5","0","0","0","0","5","5","120","20","0","0","0"
"            Cree-Montagnais languages","0","15","0","0","10","0","0","0","0","0","0","10","0","0","0","0","0","10","5","105","65","5","5","0"
